id	title	appearance	mechanism	attack	story	prompt_en
limne	골목의 물지기	짧은 남색 단발과 둥근 얼굴. 통통한 작은 성인 체형, 청록 방수 앞치마, 종아리 장화. 등보다 넓은 둥근 투명 물통 하나와 양쪽 손목의 짧은 분사구가 실루엣의 중심.	등 물통 → 굵은 호스 두 줄 → 손목 분사구. 물통 수위와 분사구 방향이 공격 상태를 보여 준다.	두 손을 아래로 펴고 허리를 숙임 → 양 손목에서 물을 쏟음 → 전방 바닥에 얕은 원형 웅덩이. 젖음·약한 지속 피해.	단수된 골목에 마지막까지 물을 날랐다. 가장 먼저 불려 나오는 수호자가 주민들의 얼굴을 가장 많이 기억한다.	A small stout adult female neighborhood water carrier, navy bob haircut, round friendly face, teal waterproof apron over cobalt work clothes, knee-high rubber boots. ONE large circular transparent water reservoir strapped to her back, visible around both shoulders, two thick blue hoses connected to short brass wrist nozzles. Clear blue water visible inside tank. Silver buckles, practical patched fabric, approachable novice rescuer.
phorkys	여섯발 펌프장	낡은 선원 모자를 쓴 넓적한 중년 남성. 넓은 턱, 흰 구레나룻, 짧은 파란 우의. 배처럼 둥근 배와 양 허리의 투명 물탱크 권총. 큰 회전 약실이 드러나며, 한 자루는 교대용 예비총이다.	권총의 회전 약실 여섯 칸이 한 칸씩 비고, 아래의 투명 물탱크에서 물을 공급받는다. 마지막 약실은 고압 수로에 연결된다.	한 자루를 들어 팔꿈치를 고정하고 짧게 여섯 번 반동 → 여섯 번째 고압탄은 직선 관통 → 손잡이 펌프를 당겨 재충전. 예비총은 교대 운용한다.	항만 펌프장이 멈췄을 때 수동으로 밤을 버틴 정비반장. 탄 수를 세며 싸우는 버릇이 있다.	Stocky middle-aged male harbor pump foreman, broad square jaw, white sideburns, battered navy sailor cap, short bright blue raincoat, round belly, sturdy sea boots. A chunky revolver with SIX transparent blue water cylinders arranged around a brass barrel secured in a large open rigid holster outside right thigh, its distinctive cylinder clearly visible. Brass hand-pump lever, silver trim, cheerful weather-beaten face.
protea	세갈래 항로사	긴 얼굴의 마른 성인 여성, 이마의 삼안 렌즈 고글, 짧은 청회색 후드. 등에는 부채처럼 벌어진 세 장의 청동 궁날. 허리에는 각각 끝 모양이 다른 세 화살통.	세 궁날과 세 화살 가이드가 직선·곡사·유도용 노즐을 각각 잡아 준다. 가면 대신 실제 조준 렌즈를 쓴다.	세 갈래 활을 앞으로 폄 → 한 번 당겨 세 가이드를 잠금 → 서로 다른 궤도의 물화살 세 발을 발사.	안개 속에서 구조선 세 척을 동시에 인도하던 항로사. 누구 하나 남기지 않으려 세 목표를 함께 겨눈다.	Tall lean adult female fog-channel navigator, long angular face, three-lens brass goggles on forehead, short blue-gray hooded capelet, indigo fitted seafarer uniform. Distinctive folded TRIPLE-LIMB bronze and aquamarine bow strapped vertically behind left shoulder, three broad fan-shaped limbs clearly rising above shoulder. Three narrow quivers with differently shaped arrowheads at hips. Practical silver fittings, calm sharp eyes.
marea	방수선 구조대장	햇볕 탄 피부, 짧은 주황 머리의 근육질 여성. 팔 없는 코발트 구조복, 한쪽 어깨의 큰 주황 구명환, 오른쪽 허리의 노출 호스 릴. 굵은 손목 보호대.	허리 릴에서 나온 납작한 소방 호스가 채찍이다. 끝의 부채 노즐이 넓은 수압 파동을 만든다.	릴 잠금을 풀고 팔을 크게 옆으로 회전 → 호스가 반원을 그리며 펼쳐짐 → 부채형 물결이 적을 밀어냄.	침수 구역에서 사람들을 끌어내던 현장 대장. 공격 후 호스를 잡아당기는 복귀 동작도 구조 작업 그대로다.	Muscular athletic adult female flood rescue captain, tanned skin, short orange cropped hair, sleeveless cobalt rescue jumpsuit, orange life ring attached to one shoulder. Large exposed blue fire-hose reel fixed outside right hip, flattened hose coiled into it, broad fan-shaped brass nozzle holstered at the opposite hip. Thick wrist braces, reinforced rubber boots, determined open face. Powerful shoulders and clearly visible mechanical hose reel.
glaukos	갑문 절단사	초록빛 수염을 짧게 묶은 거구의 남성. 어깨는 좁고 팔뚝과 장화는 거대한 배 모양 체형. 청록 잠수 작업복, 상완의 수압 피스톤. 한쪽 다리 바깥에 넓은 갈고리날 대검.	갈고리날 안쪽에 물이 흐르는 홈과 끝 분사구가 있다. 팔뚝 피스톤이 무거운 칼을 아래에서 끌어 올린다.	무릎을 굽혀 칼끝을 낮춤 → 온몸을 펴며 올려베기 → 칼날 홈의 물이 솟구쳐 직선 물기둥 참격.	무너진 갑문을 잘라 갇힌 배를 꺼내던 기술자. 잘라야 할 것은 적과 생존자 사이의 장애물뿐이라고 말한다.	Huge pear-shaped adult male sluice cutter, relatively narrow shoulders, massive muscular forearms and heavy oversized diver boots, short tied sea-green beard. Teal heavy diving work suit, visible brass hydraulic pistons on upper arms. Broad HOOK-TIPPED cleaver greatsword strapped vertically outside left leg, blade has a clearly visible blue water channel along its inner edge. Silver rivets and cobalt knee panels, practical industrial fantasy craftsmanship.
thalassa	이동 강우탑	키 큰 중년 여성, 은색 머리를 굵게 틀어 올림. 길게 갈라진 남색 작업 코트, 어깨보다 넓은 원형 관수 링을 등에 멨다. 링 아래에서 물관 여섯 줄이 치맛자락처럼 내려옴.	등의 링이 위로 올라가 살수 장치가 된다. 배낭 펌프가 고리의 작은 노즐 전체에 물을 공급한다.	양손으로 가슴의 밸브를 벌림 → 링이 머리 위로 상승 → 넓은 원형 범위에 비가 내려 젖음과 지속 피해.	화재 때 도시의 빗물 저장소를 개방했던 수리기사. 물을 아끼라는 명령보다 사람을 살리라는 부탁을 택했다.	Tall stately middle-aged female rainworks engineer, silver hair in a thick practical bun, long split navy engineering coat over fitted teal trousers. A huge circular aquamarine irrigation ring mechanically mounted on her back, wider than shoulders and visible above her head like a solid pipe halo, SIX thick hanging water tubes forming a structured skirt silhouette. Brass chest valve and compact back pump. Grounded waterproof boots, dignified capable face.
triton	항만 파도포수	넓은 가슴과 짙은 눈썹의 중년 남성, 둥글게 다듬은 흰 수염, 납작한 항만 장교 모자. 조개처럼 층진 은색 어깨 보호구. 몸통만큼 굵은 소라형 나팔 총열이 오른쪽 어깨 위로 솟는다.	등의 압력통과 나팔 총열이 연결된다. 벌어진 총구는 점탄 대신 넓은 수압 충격파를 증폭한다.	총을 어깨 받침에 걸고 몸을 뒤로 기울임 → 가슴 압력계를 잠금 → 나팔형 총구에서 직선 관통 충격파.	입항 신호를 담당했던 포수. 지금도 세 번째 발사 뒤에는 살아 있는 배가 듣기를 바라며 경적을 울린다.	Broad-chested middle-aged Black male harbor artillery officer, neatly rounded white beard, flat navy harbor officer cap, layered silver shell-shaped shoulder guards, vivid royal-blue reinforced coat. A huge spiral-conch pressure cannon mounted VERTICALLY on a rigid back cradle beside right shoulder, flared trumpet muzzle visible above shoulder, connected by blue hose to cylindrical pressure tank. Heavy sailor boots, brass chest pressure gauge, resolute face.
keto	심해 작살대장	짧게 민 옆머리와 뒤로 묶은 남색 머리, 길고 탄탄한 체형. 상어 지느러미 한 장 같은 등판, 한쪽 눈의 원형 수중 조준경. 어깨부터 발목까지 내려오는 길고 좁은 작살궁.	활 중앙의 두 압축실이 물을 길게 눌러 작살로 만든다. 작살 끝의 갈라지는 세 홈은 관통 뒤 분열을 예고한다.	활을 세워 압축실 두 개를 닫음 → 길게 당겨 물작살을 형성 → 관통 후 뒤쪽에서 세 갈래 물방울로 터짐.	심해 관측소 구조 임무에서 돌아온 잠수대장. 두꺼운 외피 뒤에 숨어 있는 목표까지 찾아낸다.	Tall athletic androgynous adult deep-sea harpoon commander, shaved sides and tied navy hair, one round aqua optical targeting lens over an eye. Streamlined indigo diving armor with ONE tall shark-fin-shaped dorsal back plate. Extremely long narrow aquamarine harpoon bow strapped vertically outside left side from shoulder to ankle, two transparent compression chambers around its central grip, three-grooved harpoon tip. Silver rib reinforcements, strong grounded boots.
galene	쌍조류 지휘관	넓은 어깨와 가는 허리의 장년 여성, 뒤로 빗어 넘긴 청회색 단발. 등 양쪽에 달린 커다란 납작 원반 수조 두 개가 나비 같은 외곽선을 만든다. 팔뚝에는 폭넓은 리본 호스.	쌍수조가 반대 방향으로 회전하며 수압을 고른다. 넓은 호스 끝에서 얇고 긴 물막이 형성된다.	두 수조를 반대 방향으로 회전 → 손목을 한 번 수평으로 튕김 → 화면에서 읽히는 넓은 반원 물막, 젖음 중첩.	폭풍 속에서도 대피선의 항로를 유지한 조류 제어사. 장비가 힘을 만들기 때문에 사람은 작고 정확하게 움직인다.	Mature broad-shouldered female tidal-control commander with a narrow waist, swept-back blue-gray bob, calm commanding face. Two enormous FLAT CIRCULAR transparent blue water reservoirs mounted left and right behind torso, giving a butterfly-like broad silhouette, visible silver counter-rotating rims. Tailored cobalt officer coat split above knees, wide flattened ribbon hoses coiled along both forearm braces, brass pressure regulators, solid boots. Functional majestic hydraulic equipment.
nerea	대수문 수호장	매우 키 큰 은발 여성. 네모난 갑문 판 두 장이 등 뒤에서 닫힌 날개처럼 서고, 큰 원형 밸브가 가슴 중앙에 있다. 남색·은색 중갑, 정강이까지 이어지는 수압 배관. 다리 바깥에 몸길이의 수문 대검.	등 갑문이 벌어져 저수압을 모으고, 가슴 밸브가 대검의 세 줄 수로를 연다. 왕관 대신 거대한 갑문 구조가 최상위 실루엣이다.	등 갑문 개방 → 양손으로 대검을 정수리 위까지 듦 → 수직 내려베기로 물벽을 방출. 세 번째 공격은 세 수로가 모두 열려 세 갈래 관통.	첫 홍수 때 몸으로 갑문을 지킨 방어망 창설자. 이름이 전설이 된 뒤에도 스스로를 문지기라고 소개한다.	Very tall legendary adult female great-floodgate guardian, long silver hair secured behind neck, powerful regal stance, richly engineered navy and silver heavy armor. TWO enormous rectangular sluice-gate plates rise behind her like closed rigid wings, broad brass circular valve centered on chest, thick blue pressure pipes run to armored shins. Body-length straight floodgate greatsword secured vertically OUTSIDE right leg with THREE clearly inset aquamarine water channels. Geometric monumental silhouette, visible human face and feet.
